Gene	iKOX-5_plus_ATc1											
TGGT1_200010	1852											
TGGT1_200110	64											
TGGT1_200130	53											
TGGT1_200230	1											
TGGT1_200240	26											
TGGT1_200250	226											
TGGT1_200260	258											
TGGT1_200270	168											
TGGT1_200280	632											
TGGT1_200290	475											
TGGT1_200295	10											
TGGT1_200300	7											
TGGT1_200310	992											
TGGT1_200320	17268											
TGGT1_200330	896											
TGGT1_200340	92											
TGGT1_200350	1232											
TGGT1_200360	3665											
TGGT1_200370	698											
TGGT1_200385	6946											
TGGT1_200400	757											
TGGT1_200410	67											
TGGT1_200430	63											
TGGT1_200440	138											
TGGT1_200450	237											
TGGT1_200460	239											
TGGT1_200470	896											
TGGT1_200480	0											
TGGT1_200590	290											
TGGT1_200595	7469											
TGGT1_200600	2											
TGGT1_200700	75											
TGGT1_201100	2											
TGGT1_201110	158											
TGGT1_201120	972											
TGGT1_201130	430											
TGGT1_201140	283											
TGGT1_201150	659											
TGGT1_201160	66											
TGGT1_201170	1128											
TGGT1_201180A	344											
TGGT1_201180B	69											
TGGT1_201190	25											
TGGT1_201200	190											
TGGT1_201210	46											
TGGT1_201220	110											
TGGT1_201230	176											
TGGT1_201240	43											
TGGT1_201250	688											
TGGT1_201260	3452											
TGGT1_201270	938											
TGGT1_201380	3122											
TGGT1_201390	2378											
TGGT1_201400	2186											
TGGT1_201520	1											
TGGT1_201630A	541											
TGGT1_201630B	340											
TGGT1_201640	0											
TGGT1_201650	2											
TGGT1_201660	0											
TGGT1_201670	109											
TGGT1_201680	1721											
TGGT1_201690	34											
TGGT1_201700	194											
TGGT1_201710	181											
TGGT1_201720	91											
TGGT1_201730	4											
TGGT1_201740	75											
TGGT1_201750	0											
TGGT1_201760	379											
TGGT1_201770	344											
TGGT1_201775	6											
TGGT1_201780	23149											
TGGT1_201785	27											
TGGT1_201790	507											
TGGT1_201800	229											
TGGT1_201810	512											
TGGT1_201820	373											
TGGT1_201830	84											
TGGT1_201840	1317											
TGGT1_201850	22											
TGGT1_201860	1222											
TGGT1_201870	308											
TGGT1_201880	511											
TGGT1_201890	2											
TGGT1_201895	0											
TGGT1_201900	376											
TGGT1_202010	245											
TGGT1_202020	90											
TGGT1_202025	3											
TGGT1_202030	1468											
TGGT1_202040	583											
TGGT1_202050	0											
TGGT1_202065	0											
TGGT1_202070	789											
TGGT1_202080	245											
TGGT1_202090	4											
TGGT1_202100	2											
TGGT1_202110	0											
TGGT1_202120	758											
TGGT1_202140	12											
TGGT1_202160	295											
TGGT1_202170	129											
TGGT1_202180	192											
TGGT1_202190	287											
TGGT1_202200	661											
TGGT1_202205	0											
TGGT1_202210	1											
TGGT1_202220	137											
TGGT1_202230	375											
TGGT1_202240	241											
TGGT1_202250	474											
TGGT1_202255	78											
TGGT1_202260	0											
TGGT1_202280	1018											
TGGT1_202285	0											
TGGT1_202290	150											
TGGT1_202300	241											
TGGT1_202310	489											
TGGT1_202340	2											
TGGT1_202350	292											
TGGT1_202360	171											
TGGT1_202370	819											
TGGT1_202375	27											
TGGT1_202380	2420											
TGGT1_202390	324											
TGGT1_202400	5											
TGGT1_202410	564											
TGGT1_202420	95											
TGGT1_202430	246											
TGGT1_202440	110											
TGGT1_202445	0											
TGGT1_202450	101											
TGGT1_202460	300											
TGGT1_202470	450											
TGGT1_202480	70											
TGGT1_202490	1754											
TGGT1_202500	1329											
TGGT1_202510	254											
TGGT1_202520	866											
TGGT1_202530	503											
TGGT1_202540	1502											
TGGT1_202550	284											
TGGT1_202568	168											
TGGT1_202572	184											
TGGT1_202580	227											
TGGT1_202590	422											
TGGT1_202600	0											
TGGT1_202610	1811											
TGGT1_202620	2057											
TGGT1_202630	20344											
TGGT1_202640	191											
TGGT1_202650	169											
TGGT1_202680	967											
TGGT1_202690	102											
TGGT1_202700	306											
TGGT1_202720	213											
TGGT1_202730	60											
TGGT1_202735	0											
TGGT1_202740	148											
TGGT1_202750	114											
TGGT1_202760	66											
TGGT1_202770	2298											
TGGT1_202780	802											
TGGT1_202790	174											
TGGT1_202800	76											
TGGT1_202810	45											
TGGT1_202820	166											
TGGT1_202830	1794											
TGGT1_202840	1293											
TGGT1_202850	292											
TGGT1_202870	200											
TGGT1_202880	100											
TGGT1_202890	670											
TGGT1_202900	1100											
TGGT1_202910	45											
TGGT1_202920	579											
TGGT1_202930	18											
TGGT1_202940	332											
TGGT1_202950	487											
TGGT1_202960	61											
TGGT1_202970	44											
TGGT1_202975	8											
TGGT1_202980	943											
TGGT1_202990	0											
TGGT1_203000	3											
TGGT1_203010	311											
TGGT1_203020	242											
TGGT1_203030	419											
TGGT1_203040	423											
TGGT1_203050	413											
TGGT1_203060	2249											
TGGT1_203070	0											
TGGT1_203080	417											
TGGT1_203090	0											
TGGT1_203100	0											
TGGT1_203110	3											
TGGT1_203120	114											
TGGT1_203135	56											
TGGT1_203150	708											
TGGT1_203160	353											
TGGT1_203170	1088											
TGGT1_203175	20											
TGGT1_203180	352											
TGGT1_203200	163											
TGGT1_203220	421											
TGGT1_203230	38											
TGGT1_203240	608											
TGGT1_203250	13											
TGGT1_203260	168											
TGGT1_203270	77											
TGGT1_203280	104											
TGGT1_203290	4122											
TGGT1_203300	2631											
TGGT1_203310	11808											
TGGT1_203320	638											
TGGT1_203330	10											
TGGT1_203340	9											
TGGT1_203350	204											
TGGT1_203358	207											
TGGT1_203362	90											
TGGT1_203370	235											
TGGT1_203375	1											
TGGT1_203380	1074											
TGGT1_203390	196											
TGGT1_203400	164											
TGGT1_203420	321											
TGGT1_203430	20											
TGGT1_203440	67											
TGGT1_203450	203											
TGGT1_203460	16											
TGGT1_203470	7											
TGGT1_203480	190											
TGGT1_203490	199											
TGGT1_203500	1											
TGGT1_203505	1											
TGGT1_203510	361											
TGGT1_203520	298											
TGGT1_203540	3913											
TGGT1_203560	747											
TGGT1_203570	9											
TGGT1_203580	2											
TGGT1_203590	2											
TGGT1_203600	1685											
TGGT1_203610	198											
TGGT1_203620	200											
TGGT1_203630	8332											
TGGT1_203665	426											
TGGT1_203682	10											
TGGT1_203685	0											
TGGT1_203688	2											
TGGT1_203690	1047											
TGGT1_203700	224											
TGGT1_203705	61											
TGGT1_203710	2203											
TGGT1_203720	302											
TGGT1_203730	364											
TGGT1_203735	10											
TGGT1_203740	179											
TGGT1_203750	210											
TGGT1_203760	330											
TGGT1_203770	2											
TGGT1_203780	370											
TGGT1_203790	98											
TGGT1_203800	3											
TGGT1_203810	1110											
TGGT1_203820	1424											
TGGT1_203830	236											
TGGT1_203840	232											
TGGT1_203860	73											
TGGT1_203870	163											
TGGT1_203875	165											
TGGT1_203880	2498											
TGGT1_203890	25											
TGGT1_203900	2											
TGGT1_203910	1210											
TGGT1_203930	221											
TGGT1_203940	224											
TGGT1_203950	392											
TGGT1_203960	120											
TGGT1_203970	127											
TGGT1_203980	1413											
TGGT1_203985	10											
TGGT1_203990	355											
TGGT1_204000	9											
TGGT1_204010	15											
TGGT1_204020	10542											
TGGT1_204040	272											
TGGT1_204045	17											
TGGT1_204050	17570											
TGGT1_204055	104											
TGGT1_204060	267											
TGGT1_204070	904											
TGGT1_204080	1036											
TGGT1_204090	38											
TGGT1_204100	907											
TGGT1_204110	105											
TGGT1_204120	148											
TGGT1_204130	7158											
TGGT1_204140	223											
TGGT1_204150	39											
TGGT1_204160	489											
TGGT1_204270	157											
TGGT1_204280	349											
TGGT1_204290	3											
TGGT1_204300	4											
TGGT1_204310	1559											
TGGT1_204315	578											
TGGT1_204320	122											
TGGT1_204325	2											
TGGT1_204330	365											
TGGT1_204340	6671											
TGGT1_204350	326											
TGGT1_204360	728											
TGGT1_204370	462											
TGGT1_204380	488											
TGGT1_204390	52											
TGGT1_204395	21											
TGGT1_204400	1830											
TGGT1_204410	208											
TGGT1_204420	10											
TGGT1_204440	123											
TGGT1_204460	0											
TGGT1_204468	0											
TGGT1_204472	0											
TGGT1_204480	1013											
TGGT1_204490	220											
TGGT1_204500	137											
TGGT1_204505	1											
TGGT1_204510	851											
TGGT1_204520	22											
TGGT1_204530	3790											
TGGT1_204540	166											
TGGT1_204550	387											
TGGT1_204560	2											
TGGT1_204870	2											
TGGT1_204880	117											
TGGT1_205000	393											
TGGT1_205010	795											
TGGT1_205020	5											
TGGT1_205030	145											
TGGT1_205040	1212											
TGGT1_205050	80											
TGGT1_205060	443											
TGGT1_205070	0											
TGGT1_205080	1											
TGGT1_205090	2											
TGGT1_205100	146											
TGGT1_205110	8											
TGGT1_205120	175											
TGGT1_205130	1626											
TGGT1_205140	17											
TGGT1_205150	173											
TGGT1_205160	151											
TGGT1_205170	645											
TGGT1_205180	719											
TGGT1_205190	338											
TGGT1_205200	708											
TGGT1_205210	45											
TGGT1_205220	299											
TGGT1_205230	1											
TGGT1_205240	474											
TGGT1_205250	4326											
TGGT1_205265	514											
TGGT1_205280	716											
TGGT1_205290	277											
TGGT1_205300	273											
TGGT1_205320	2172											
TGGT1_205330	758											
TGGT1_205340	11892											
TGGT1_205350	966											
TGGT1_205360	570											
TGGT1_205370	364											
TGGT1_205380	928											
TGGT1_205390	311											
TGGT1_205398	0											
TGGT1_205402	1											
TGGT1_205410	146											
TGGT1_205420	5											
TGGT1_205425	1											
TGGT1_205430	9											
TGGT1_205440	891											
TGGT1_205450	2											
TGGT1_205460	155											
TGGT1_205470	9439											
TGGT1_205480	51											
TGGT1_205490	991											
TGGT1_205500	1655											
TGGT1_205510	479											
TGGT1_205520	9											
TGGT1_205540	302											
TGGT1_205550	113											
TGGT1_205558	4494											
TGGT1_205562	339											
TGGT1_205570	139											
TGGT1_205580	337											
TGGT1_205590	5											
TGGT1_205600	342											
TGGT1_205615	781											
TGGT1_205625	404											
TGGT1_205630	5											
TGGT1_205640	526											
TGGT1_205650	1307											
TGGT1_205658	38											
TGGT1_205662	0											
TGGT1_205670	287											
TGGT1_205680	739											
TGGT1_205690	223											
TGGT1_205700	4389											
TGGT1_205710	803											
TGGT1_205720	159											
TGGT1_205730	61											
TGGT1_205740	567											
TGGT1_205750	583											
TGGT1_205760	1											
TGGT1_206290	104											
TGGT1_206300	202											
TGGT1_206310	323											
TGGT1_206320	225											
TGGT1_206330	270											
TGGT1_206340	528											
TGGT1_206350	261											
TGGT1_206360	148											
TGGT1_206380	1286											
TGGT1_206390	129											
TGGT1_206400	55											
TGGT1_206415	387											
TGGT1_206430	4											
TGGT1_206440	4											
TGGT1_206450	4313											
TGGT1_206460	87											
TGGT1_206470	936											
TGGT1_206480	197											
TGGT1_206490	234											
TGGT1_206500	139											
TGGT1_206510	1936											
TGGT1_206520	5											
TGGT1_206540	1012											
TGGT1_206550	476											
TGGT1_206560	1											
TGGT1_206570	7											
TGGT1_206580	561											
TGGT1_206590	535											
TGGT1_206600	334											
TGGT1_206610	630											
TGGT1_206620	1											
TGGT1_206630	264											
TGGT1_206640	2542											
TGGT1_206650	16											
TGGT1_206660	4											
TGGT1_206670	1328											
TGGT1_206680	41											
TGGT1_206690	512											
TGGT1_206695	465											
TGGT1_206700	42											
TGGT1_206710	119											
TGGT1_206910	0											
TGGT1_207005	0											
TGGT1_207010	0											
TGGT1_207015	1											
TGGT1_207020	162											
TGGT1_207030	11											
TGGT1_207040	161											
TGGT1_207050	1											
TGGT1_207060	1292											
TGGT1_207070	106											
TGGT1_207080	355											
TGGT1_207100	682											
TGGT1_207110	1											
TGGT1_207120	457											
TGGT1_207130	50											
TGGT1_207140	71											
TGGT1_207150	18											
TGGT1_207160	25											
TGGT1_207170	328											
TGGT1_207180	327											
TGGT1_207200	204											
TGGT1_207210	30											
TGGT1_207230	486											
TGGT1_207240	207											
TGGT1_207250	0											
TGGT1_207350	4											
TGGT1_207360	0											
TGGT1_207370	1784											
TGGT1_207390	367											
TGGT1_207400	203											
TGGT1_207407	1											
TGGT1_207410	15											
TGGT1_207420	131											
TGGT1_207430	480											
TGGT1_207440	6539											
TGGT1_207450	684											
TGGT1_207460A	11											
TGGT1_207460B	195											
TGGT1_207470	22											
TGGT1_207480	920											
TGGT1_207590	117											
TGGT1_207600	246											
TGGT1_207610	0											
TGGT1_207620	924											
TGGT1_207630	211											
TGGT1_207640	762											
TGGT1_207650	4											
TGGT1_207665	591											
TGGT1_207680	199											
TGGT1_207690	175											
TGGT1_207700	0											
TGGT1_207710	242											
TGGT1_207720	224											
TGGT1_207730	0											
TGGT1_207740	2											
TGGT1_207750	5190											
TGGT1_207760	777											
TGGT1_207770	457											
TGGT1_207780	0											
TGGT1_207790	7											
TGGT1_207800	319											
TGGT1_207820	787											
TGGT1_207830	350											
TGGT1_207840	7360											
TGGT1_207865	180											
TGGT1_207875	349											
TGGT1_207880	935											
TGGT1_207900	512											
TGGT1_207910	320											
TGGT1_207920	265											
TGGT1_207930	354											
TGGT1_207940	124											
TGGT1_207950	250											
TGGT1_207955	0											
TGGT1_207960	305											
TGGT1_207965	1											
TGGT1_207970	23											
TGGT1_207980	17											
TGGT1_207990	437											
TGGT1_208010	213											
TGGT1_208020	64											
TGGT1_208030	9126											
TGGT1_208040	348											
TGGT1_208050	507											
TGGT1_208070	546											
TGGT1_208080	7											
TGGT1_208090	75											
TGGT1_208200	244											
TGGT1_208300	136											
TGGT1_208310	358											
TGGT1_208320	232											
TGGT1_208330	0											
TGGT1_208340	470											
TGGT1_208350	202											
TGGT1_208360	155											
TGGT1_208370	2662											
TGGT1_208380	8											
TGGT1_208390	179											
TGGT1_208400A	204											
TGGT1_208400B	1948											
TGGT1_208410	278											
TGGT1_208420	693											
TGGT1_208430	411											
TGGT1_208440	731											
TGGT1_208450	1911											
TGGT1_208490	631											
TGGT1_208500	1066											
TGGT1_208510	463											
TGGT1_208530	561											
TGGT1_208540	184											
TGGT1_208550	606											
TGGT1_208560	776											
TGGT1_208570	3329											
TGGT1_208580	460											
TGGT1_208590	497											
TGGT1_208710	121											
TGGT1_208718	416											
TGGT1_208722	98											
TGGT1_208730	1422											
TGGT1_208740	4501											
TGGT1_208750	313											
TGGT1_208760	9											
TGGT1_208770	1											
TGGT1_208780	150											
TGGT1_208790	383											
TGGT1_208800	541											
TGGT1_208810	7											
TGGT1_208820	286											
TGGT1_208830	2861											
TGGT1_208842	3174											
TGGT1_208850	339											
TGGT1_208910	641											
TGGT1_208970	293											
TGGT1_208980	36											
TGGT1_208990	95											
TGGT1_209000	846											
TGGT1_209010	67											
TGGT1_209020	150											
TGGT1_209030	14597											
TGGT1_209040	16											
TGGT1_209045	12											
TGGT1_209050	258											
TGGT1_209060	242											
TGGT1_209070	888											
TGGT1_209080	28											
TGGT1_209090	74											
TGGT1_209095	404											
TGGT1_209100	613											
TGGT1_209108	50											
TGGT1_209120	69											
TGGT1_209130	93											
TGGT1_209140	384											
TGGT1_209150	359											
TGGT1_209160	377											
TGGT1_209170	183											
TGGT1_209180	4											
TGGT1_209190	403											
TGGT1_209200	254											
TGGT1_209210	798											
TGGT1_209240	137											
TGGT1_209250	1416											
TGGT1_209260	1347											
TGGT1_209270	317											
TGGT1_209280	968											
TGGT1_209290	4492											
TGGT1_209300	87											
TGGT1_209410	2											
TGGT1_209420	1225											
TGGT1_209430	136											
TGGT1_209440	1609											
TGGT1_209450	951											
TGGT1_209460	137											
TGGT1_209470	0											
TGGT1_209480	0											
TGGT1_209485	1											
TGGT1_209490	258											
TGGT1_209500	2064											
TGGT1_209510	5											
TGGT1_209515	0											
TGGT1_209520	698											
TGGT1_209530	166											
TGGT1_209540	105											
TGGT1_209550	141											
TGGT1_209560	0											
TGGT1_209570	205											
TGGT1_209580	370											
TGGT1_209583	0											
TGGT1_209585	0											
TGGT1_209590	0											
TGGT1_209600	4824											
TGGT1_209610	1											
TGGT1_209620	0											
TGGT1_209630	177											
TGGT1_209640	55											
TGGT1_209650A	140											
TGGT1_209650B	814											
TGGT1_209670	32											
TGGT1_209680	201											
TGGT1_209690	134											
TGGT1_209700	541											
TGGT1_209705	0											
TGGT1_209710	234											
TGGT1_209720	429											
TGGT1_209730	285											
TGGT1_209740	74											
TGGT1_209755A	35											
TGGT1_209755B	45											
TGGT1_209770	135											
TGGT1_209790	207											
TGGT1_209800	263											
TGGT1_209810	1											
TGGT1_209820	12											
TGGT1_209830	44											
TGGT1_209850	2696											
TGGT1_209860	203											
TGGT1_209870	447											
TGGT1_209880	1409											
TGGT1_209890	455											
TGGT1_209900	86											
TGGT1_209910	1942											
TGGT1_209920A	3											
TGGT1_209920B	1											
TGGT1_209930	8											
TGGT1_209940	316											
TGGT1_209945	193											
TGGT1_209950	1844											
TGGT1_209960	492											
TGGT1_209970	656											
TGGT1_209985	11											
TGGT1_210095	2											
TGGT1_210210	0											
TGGT1_210220	208											
TGGT1_210230	576											
TGGT1_210235	28											
TGGT1_210245	51											
TGGT1_210255	119											
TGGT1_210260	89											
TGGT1_210270	738											
TGGT1_210280	143											
TGGT1_210300	1769											
TGGT1_210310	336											
TGGT1_210320	22											
TGGT1_210330	3											
TGGT1_210345	228											
TGGT1_210360	321											
TGGT1_210370	1436											
TGGT1_210380	752											
TGGT1_210390	129											
TGGT1_210400	20											
TGGT1_210408	1923											
TGGT1_210412	37											
TGGT1_210420	74											
TGGT1_210430	781											
TGGT1_210440	431											
TGGT1_210450	52											
TGGT1_210460	0											
TGGT1_210470	7											
TGGT1_210478	132											
TGGT1_210482	120											
TGGT1_210490	417											
TGGT1_210682	104											
TGGT1_210690	20601											
TGGT1_210700	1503											
TGGT1_210715	85											
TGGT1_210730	508											
TGGT1_210740	2											
TGGT1_210750	157											
TGGT1_210760	150											
TGGT1_210770	4											
TGGT1_210778	587											
TGGT1_210781	386											
TGGT1_210783	0											
TGGT1_210787	38											
